method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,polite,polite,15,9,0.32620975375175476
methodA,polite,polite,15,10,0.3797951638698578
methodA,polite,polite,15,11,0.40585246682167053
methodA,polite,polite,15,12,0.4627108573913574
methodA,polite,polite,15,13,0.42899563908576965
methodA,polite,polite,15,14,0.47391608357429504
methodA,polite,polite,15,15,0.55045086145401
methodA,polite,polite,15,16,0.6025302410125732
methodA,polite,polite,15,17,0.6290493011474609
methodA,polite,polite,15,18,0.5454525351524353
methodA,polite,polite,15,19,0.3890862762928009
methodA,truesmile,polite,15,0,0.10350845754146576
methodA,truesmile,polite,15,1,0.13349905610084534
methodA,truesmile,polite,15,2,0.17629246413707733
methodA,truesmile,polite,15,3,0.2842790484428406
methodA,truesmile,polite,15,4,0.3510638475418091
methodA,truesmile,polite,15,5,0.5826441049575806
methodA,truesmile,polite,15,6,0.5082394480705261
methodA,truesmile,polite,15,7,0.49342262744903564
methodA,truesmile,polite,15,8,0.549399197101593
methodA,truesmile,polite,15,9,0.5732108950614929
methodA,truesmile,polite,15,10,0.648606538772583
methodA,truesmile,polite,15,11,0.6466934680938721
methodA,truesmile,polite,15,12,0.660057008266449
methodA,truesmile,polite,15,13,0.6272295117378235
methodA,truesmile,polite,15,14,0.6588640213012695
methodA,truesmile,polite,15,15,0.698945939540863
methodA,truesmile,polite,15,16,0.6926172375679016
methodA,truesmile,polite,15,17,0.7200964689254761
methodA,truesmile,polite,15,18,0.6679545640945435
methodA,truesmile,polite,15,19,0.5776664018630981
methodA,ambiguous,polite,15,0,0.05883654206991196
methodA,ambiguous,polite,15,1,0.07812213897705078
methodA,ambiguous,polite,15,2,0.12595604360103607
methodA,ambiguous,polite,15,3,0.16858015954494476
methodA,ambiguous,polite,15,4,0.2067192941904068
methodA,ambiguous,polite,15,5,0.48650941252708435
methodA,ambiguous,polite,15,6,0.352619469165802
methodA,ambiguous,polite,15,7,0.3386779725551605
methodA,ambiguous,polite,15,8,0.396353155374527
methodA,ambiguous,polite,15,9,0.40473300218582153
methodA,ambiguous,polite,15,10,0.45936012268066406
methodA,ambiguous,polite,15,11,0.4954530596733093
methodA,ambiguous,polite,15,12,0.5284999012947083
