method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodB,polite,24,10,0.2159198522567749,0.6970749497413635
methodB,polite,24,11,0.26759853959083557,0.8733925223350525
methodB,polite,24,12,0.24601787328720093,0.8773857355117798
methodB,polite,24,13,0.2783556282520294,0.7858136892318726
methodB,polite,24,14,0.3003667891025543,0.7925101518630981
methodB,polite,24,15,0.2641052007675171,0.8773682117462158
methodB,polite,24,16,0.32506969571113586,0.9454832673072815
methodB,polite,24,17,0.30483177304267883,0.9755079746246338
methodB,polite,24,18,0.12909437716007233,0.9932019114494324
methodB,polite,24,19,0.1026139110326767,1.0278522968292236
methodB,polite,25,0,0.0,0.0
methodB,polite,25,1,0.004553531296551228,0.34257999062538147
methodB,polite,25,2,0.0001627216988708824,0.3735226094722748
methodB,polite,25,3,0.01694234274327755,0.352990061044693
methodB,polite,25,4,0.009535303339362144,0.38875994086265564
methodB,polite,25,5,-0.012837356887757778,0.37850287556648254
methodB,polite,25,6,-0.047564975917339325,0.3827132284641266
methodB,polite,25,7,-0.055137548595666885,0.4220212996006012
methodB,polite,25,8,-0.034841302782297134,0.4053492844104767
methodB,polite,25,9,0.017385290935635567,0.40064358711242676
methodB,polite,25,10,0.04314016178250313,0.3950575292110443
methodB,polite,25,11,0.0617278590798378,0.41759565472602844
methodB,polite,25,12,0.06707781553268433,0.4815909266471863
methodB,polite,25,13,0.06830241531133652,0.49906259775161743
methodB,polite,25,14,0.06040186807513237,0.5476576089859009
methodB,polite,25,15,0.11387281864881516,0.5648783445358276
methodB,polite,25,16,0.15529876947402954,0.5664843916893005
methodB,polite,25,17,0.13040626049041748,0.5759740471839905
methodB,polite,25,18,0.11435645073652267,0.598213791847229
methodB,polite,25,19,0.0194802638143301,0.7167701125144958
methodB,polite,26,0,0.0,0.0
methodB,polite,26,1,0.054510194808244705,0.38021618127822876
methodB,polite,26,2,0.09625288844108582,0.3703424036502838
methodB,polite,26,3,0.09092897921800613,0.41478532552719116
methodB,polite,26,4,0.13237512111663818,0.44986236095428467
methodB,polite,26,5,0.16341474652290344,0.5206756591796875
methodB,polite,26,6,0.1847589612007141,0.6110074520111084
methodB,polite,26,7,0.1763652265071869,0.7122315764427185
methodB,polite,26,8,0.12408540397882462,0.7256452441215515
methodB,polite,26,9,0.11589828133583069,0.718047559261322
methodB,polite,26,10,0.06912057846784592,0.8383970260620117
methodB,polite,26,11,0.11842206120491028,0.7539016008377075
methodB,polite,26,12,0.23322318494319916,0.7293006777763367
methodB,polite,26,13,0.21087752282619476,0.7105294466018677
methodB,polite,26,14,0.32145243883132935,0.9565860629081726
methodB,polite,26,15,0.4395037293434143,1.0057839155197144
methodB,polite,26,16,0.43676814436912537,1.0137667655944824
methodB,polite,26,17,0.4707053005695343,0.9497491717338562
methodB,polite,26,18,0.4944721758365631,0.9954280853271484
methodB,polite,26,19,0.40335020422935486,1.0325710773468018
methodB,polite,27,0,0.0,0.0
methodB,polite,27,1,-0.04781424626708031,0.2228570431470871
methodB,polite,27,2,-0.052057329565286636,0.2933449447154999
methodB,polite,27,3,-0.06281352043151855,0.6304465532302856
methodB,polite,27,4,-0.048881836235523224,0.7317237854003906
methodB,polite,27,5,-0.037861261516809464,0.6358867287635803
methodB,polite,27,6,-0.0097925690934062,0.6026588082313538
methodB,polite,27,7,0.024378720670938492,0.5841980576515198
methodB,polite,27,8,0.02310246229171753,0.5228965282440186
methodB,polite,27,9,-0.0009127410594373941,0.46858957409858704
methodB,polite,27,10,0.03641423210501671,0.4807426929473877
methodB,polite,27,11,0.07512126863002777,0.6543237566947937
methodB,polite,27,12,0.024164292961359024,0.674770176410675
methodB,polite,27,13,0.06389421224594116,0.57893967628479
methodB,polite,27,14,0.10907405614852905,0.6205759048461914
methodB,polite,27,15,0.17345747351646423,0.6949214935302734
methodB,polite,27,16,0.18139322102069855,0.6890692710876465
methodB,polite,27,17,0.17179720103740692,0.745887279510498
methodB,polite,27,18,0.22962728142738342,0.8824073076248169
methodB,polite,27,19,0.18823105096817017,0.7841838598251343
methodB,polite,28,0,0.0,0.0
methodB,polite,28,1,0.012199732474982738,0.36490052938461304
methodB,polite,28,2,0.017249150201678276,0.3745913803577423
methodB,polite,28,3,0.013867962174117565,0.4220926761627197
methodB,polite,28,4,-0.007284883409738541,0.46309420466423035
methodB,polite,28,5,-0.018260084092617035,0.49809494614601135
methodB,polite,28,6,-0.022859850898385048,0.44925323128700256
methodB,polite,28,7,-0.030735887587070465,0.49003127217292786
methodB,polite,28,8,-0.03941270336508751,0.6011602878570557
methodB,polite,28,9,-0.0223013274371624,0.6745418310165405
methodB,polite,28,10,-0.026250973343849182,0.7299940586090088
methodB,polite,28,11,-0.021866505965590477,0.7569519281387329
methodB,polite,28,12,-0.01539714727550745,0.6839644908905029
methodB,polite,28,13,0.018873490393161774,0.7115083932876587
methodB,polite,28,14,-0.017894793301820755,0.745194673538208
methodB,polite,28,15,-0.0494706854224205,0.7617023587226868
methodB,polite,28,16,-0.07182308286428452,0.6652607321739197
methodB,polite,28,17,-0.11096885055303574,0.7442792654037476
methodB,polite,28,18,-0.12940236926078796,0.6977691650390625
methodB,polite,28,19,-0.10953279584646225,0.6798223853111267
methodB,polite,29,0,0.0,0.0
methodB,polite,29,1,-0.026823580265045166,0.2571576237678528
methodB,polite,29,2,-0.016892295330762863,0.35461223125457764
methodB,polite,29,3,0.03808259591460228,0.5316330790519714
methodB,polite,29,4,0.10436368733644485,0.6901960372924805
methodB,polite,29,5,0.13879019021987915,0.7090857625007629
methodB,polite,29,6,0.16753314435482025,0.7242286205291748
methodB,polite,29,7,0.17694127559661865,0.8361343145370483
methodB,polite,29,8,0.13291500508785248,0.8827133774757385
methodB,polite,29,9,0.16659902036190033,0.9983566403388977
methodB,polite,29,10,0.22107455134391785,1.0553454160690308
methodB,polite,29,11,0.12101452797651291,1.0908503532409668
methodB,polite,29,12,0.07076346129179001,1.05364191532135
methodB,polite,29,13,0.13025496900081635,1.051405906677246
methodB,polite,29,14,0.324411004781723,1.07791006565094
methodB,polite,29,15,0.3432364761829376,1.171910047531128
