method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodB,ambiguous,polite,19,0,0.1205620989203453
methodB,ambiguous,polite,19,1,0.10392183810472488
methodB,ambiguous,polite,19,2,0.2818792164325714
methodB,ambiguous,polite,19,3,0.37903308868408203
methodB,ambiguous,polite,19,4,0.3652743697166443
methodB,ambiguous,polite,19,5,0.36190325021743774
methodB,ambiguous,polite,19,6,0.3395044505596161
methodB,ambiguous,polite,19,7,0.5994561910629272
methodB,ambiguous,polite,19,8,0.5296345353126526
methodB,ambiguous,polite,19,9,0.4884297847747803
methodB,ambiguous,polite,19,10,0.49703875184059143
methodB,ambiguous,polite,19,11,0.606986939907074
methodB,ambiguous,polite,19,12,0.6108593344688416
methodB,ambiguous,polite,19,13,0.7087550759315491
methodB,ambiguous,polite,19,14,0.6084316968917847
methodB,ambiguous,polite,19,15,0.5871495008468628
methodB,ambiguous,polite,19,16,0.6576823592185974
methodB,ambiguous,polite,19,17,0.5943750739097595
methodB,ambiguous,polite,19,18,0.5374929308891296
methodB,ambiguous,polite,19,19,0.6068956255912781
methodB,polite,polite,2,0,0.11525042355060577
methodB,polite,polite,2,1,0.13988733291625977
methodB,polite,polite,2,2,0.24142014980316162
methodB,polite,polite,2,3,0.31531473994255066
methodB,polite,polite,2,4,0.3716675043106079
methodB,polite,polite,2,5,0.4377391040325165
methodB,polite,polite,2,6,0.5470592379570007
methodB,polite,polite,2,7,0.5494879484176636
methodB,polite,polite,2,8,0.5630479454994202
methodB,polite,polite,2,9,0.5785999894142151
methodB,polite,polite,2,10,0.6036372780799866
methodB,polite,polite,2,11,0.5534600615501404
methodB,polite,polite,2,12,0.5047503113746643
methodB,polite,polite,2,13,0.44261717796325684
methodB,polite,polite,2,14,0.4899059236049652
methodB,polite,polite,2,15,0.49847179651260376
methodB,polite,polite,2,16,0.5035681128501892
methodB,polite,polite,2,17,0.4728555977344513
methodB,polite,polite,2,18,0.5007850527763367
methodB,polite,polite,2,19,0.47504982352256775
methodB,truesmile,polite,2,0,0.148885577917099
methodB,truesmile,polite,2,1,0.20565670728683472
methodB,truesmile,polite,2,2,0.3781496286392212
methodB,truesmile,polite,2,3,0.41751453280448914
methodB,truesmile,polite,2,4,0.5070897340774536
methodB,truesmile,polite,2,5,0.5607317686080933
methodB,truesmile,polite,2,6,0.6145941019058228
methodB,truesmile,polite,2,7,0.673879861831665
methodB,truesmile,polite,2,8,0.6748400330543518
methodB,truesmile,polite,2,9,0.6496949791908264
methodB,truesmile,polite,2,10,0.6605581641197205
methodB,truesmile,polite,2,11,0.6059247255325317
methodB,truesmile,polite,2,12,0.6280046105384827
methodB,truesmile,polite,2,13,0.6582791209220886
methodB,truesmile,polite,2,14,0.756137490272522
methodB,truesmile,polite,2,15,0.7258309721946716
methodB,truesmile,polite,2,16,0.6980833411216736
methodB,truesmile,polite,2,17,0.7151157259941101
methodB,truesmile,polite,2,18,0.7683652639389038
methodB,truesmile,polite,2,19,0.7207050323486328
methodB,ambiguous,polite,2,0,0.10574396699666977
methodB,ambiguous,polite,2,1,0.13714304566383362
methodB,ambiguous,polite,2,2,0.2323170155286789
methodB,ambiguous,polite,2,3,0.3114422559738159
methodB,ambiguous,polite,2,4,0.39679861068725586
methodB,ambiguous,polite,2,5,0.41023918986320496
methodB,ambiguous,polite,2,6,0.4833541810512543
methodB,ambiguous,polite,2,7,0.5541790127754211
methodB,ambiguous,polite,2,8,0.5662829875946045
methodB,ambiguous,polite,2,9,0.5439285039901733
methodB,ambiguous,polite,2,10,0.5389903783798218
methodB,ambiguous,polite,2,11,0.5273885726928711
methodB,ambiguous,polite,2,12,0.5018609762191772
methodB,ambiguous,polite,2,13,0.42956238985061646
methodB,ambiguous,polite,2,14,0.42520827054977417
methodB,ambiguous,polite,2,15,0.4252971112728119
methodB,ambiguous,polite,2,16,0.43385642766952515
methodB,ambiguous,polite,2,17,0.47481831908226013
methodB,ambiguous,polite,2,18,0.4799594283103943
methodB,ambiguous,polite,2,19,0.474758118391037
methodB,polite,polite,21,0,0.11285486817359924
methodB,polite,polite,21,1,0.051948949694633484
methodB,polite,polite,21,2,0.14937405288219452
methodB,polite,polite,21,3,0.21264196932315826
methodB,polite,polite,21,4,0.29541149735450745
methodB,polite,polite,21,5,0.4769980311393738
methodB,polite,polite,21,6,0.48923686146736145
methodB,polite,polite,21,7,0.5498666763305664
methodB,polite,polite,21,8,0.5289036631584167
methodB,polite,polite,21,9,0.5038365125656128
methodB,polite,polite,21,10,0.5361495614051819
methodB,polite,polite,21,11,0.49027782678604126
methodB,polite,polite,21,12,0.5137399435043335
methodB,polite,polite,21,13,0.4884868860244751
methodB,polite,polite,21,14,0.5370309352874756
methodB,polite,polite,21,15,0.5128960013389587
methodB,polite,polite,21,16,0.49039143323898315
methodB,polite,polite,21,17,0.513685405254364
methodB,polite,polite,21,18,0.459095299243927
methodB,polite,polite,21,19,0.4603526294231415
methodB,truesmile,polite,21,0,0.1448104977607727
methodB,truesmile,polite,21,1,0.16204597055912018
methodB,truesmile,polite,21,2,0.34797027707099915
methodB,truesmile,polite,21,3,0.3547919690608978
methodB,truesmile,polite,21,4,0.5580307841300964
methodB,truesmile,polite,21,5,0.6815539002418518
methodB,truesmile,polite,21,6,0.7216572165489197
methodB,truesmile,polite,21,7,0.747506856918335
methodB,truesmile,polite,21,8,0.717129111289978
methodB,truesmile,polite,21,9,0.6170008182525635
